rank,token,count,relative_frequency
1548,acá,104,9.777174434193035e-05
1549,##pone,104,9.777174434193035e-05
1550,maravilla,104,9.777174434193035e-05
1551,terminado,104,9.777174434193035e-05
1552,inter,104,9.777174434193035e-05
1553,aprovechar,104,9.777174434193035e-05
1554,acto,104,9.777174434193035e-05
1555,lindo,104,9.777174434193035e-05
1556,tenido,104,9.777174434193035e-05
1557,magnífica,103,9.683163141556563e-05
1558,increíble,103,9.683163141556563e-05
1559,reír,103,9.683163141556563e-05
1560,verlo,103,9.683163141556563e-05
1561,##ib,103,9.683163141556563e-05
1562,cru,103,9.683163141556563e-05
1563,estoy,103,9.683163141556563e-05
1564,aprender,103,9.683163141556563e-05
1565,lados,103,9.683163141556563e-05
1566,##óp,103,9.683163141556563e-05
1567,##dían,103,9.683163141556563e-05
1568,fuente,103,9.683163141556563e-05
1569,nacieron,103,9.683163141556563e-05
1570,pide,103,9.683163141556563e-05
1571,refu,103,9.683163141556563e-05
1572,##tarla,103,9.683163141556563e-05
1573,mente,103,9.683163141556563e-05
1574,anal,103,9.683163141556563e-05
1575,filo,103,9.683163141556563e-05
1576,guarda,103,9.683163141556563e-05
1577,funciona,103,9.683163141556563e-05
1578,mes,103,9.683163141556563e-05
1579,parientes,103,9.683163141556563e-05
1580,##iza,103,9.683163141556563e-05
1581,gallina,103,9.683163141556563e-05
1582,azul,103,9.683163141556563e-05
1583,sacó,103,9.683163141556563e-05
1584,caute,103,9.683163141556563e-05
1585,ninguna,103,9.683163141556563e-05
1586,##ines,103,9.683163141556563e-05
1587,espan,103,9.683163141556563e-05
1588,sufrido,103,9.683163141556563e-05
1589,##iones,103,9.683163141556563e-05
1590,##icular,102,9.589151848920092e-05
1591,tocó,102,9.589151848920092e-05
1592,felicidad,102,9.589151848920092e-05
1593,tranquila,102,9.589151848920092e-05
1594,implica,102,9.589151848920092e-05
1595,internos,102,9.589151848920092e-05
1596,grande,102,9.589151848920092e-05
1597,tema,102,9.589151848920092e-05
1598,##las,102,9.589151848920092e-05
1599,charla,102,9.589151848920092e-05
1600,Fue,102,9.589151848920092e-05
1601,pri,102,9.589151848920092e-05
1602,Quién,102,9.589151848920092e-05
1603,fren,102,9.589151848920092e-05
1604,quince,102,9.589151848920092e-05
1605,arruinar,102,9.589151848920092e-05
1606,negra,102,9.589151848920092e-05
1607,##gado,101,9.495140556283621e-05
1608,apre,101,9.495140556283621e-05
1609,rama,101,9.495140556283621e-05
1610,cantar,101,9.495140556283621e-05
1611,importa,101,9.495140556283621e-05
1612,procesos,101,9.495140556283621e-05
1613,hermoso,101,9.495140556283621e-05
1614,parar,101,9.495140556283621e-05
1615,presencia,101,9.495140556283621e-05
1616,mancha,101,9.495140556283621e-05
1617,desta,101,9.495140556283621e-05
1618,durmiendo,101,9.495140556283621e-05
1619,llave,101,9.495140556283621e-05
1620,policía,101,9.495140556283621e-05
1621,prendas,100,9.40112926364715e-05
1622,##cionado,100,9.40112926364715e-05
1623,cargar,100,9.40112926364715e-05
1624,sonido,100,9.40112926364715e-05
1625,frecuente,100,9.40112926364715e-05
1626,monedas,100,9.40112926364715e-05
1627,##tí,100,9.40112926364715e-05
1628,recién,100,9.40112926364715e-05
1629,empezar,100,9.40112926364715e-05
1630,##dan,100,9.40112926364715e-05
1631,##vi,100,9.40112926364715e-05
1632,##zn,100,9.40112926364715e-05
1633,##itos,100,9.40112926364715e-05
1634,permite,100,9.40112926364715e-05
1635,resguar,100,9.40112926364715e-05
1636,necesidad,100,9.40112926364715e-05
1637,tienen,100,9.40112926364715e-05
1638,##ven,100,9.40112926364715e-05
1639,buscamos,100,9.40112926364715e-05
1640,conser,100,9.40112926364715e-05
1641,metros,100,9.40112926364715e-05
1642,encontró,100,9.40112926364715e-05
1643,dolor,100,9.40112926364715e-05
1644,salvo,100,9.40112926364715e-05
1645,vidrio,100,9.40112926364715e-05
1646,rodea,100,9.40112926364715e-05
1647,cuello,100,9.40112926364715e-05
1648,suficientes,100,9.40112926364715e-05
1649,puñ,100,9.40112926364715e-05
1650,##al,100,9.40112926364715e-05
1651,felices,100,9.40112926364715e-05
1652,interes,100,9.40112926364715e-05
1653,plano,100,9.40112926364715e-05
1654,comprar,99,9.307117971010677e-05
1655,ilusión,99,9.307117971010677e-05
1656,##res,99,9.307117971010677e-05
1657,camin,99,9.307117971010677e-05
1658,habría,99,9.307117971010677e-05
1659,Eve,99,9.307117971010677e-05
1660,##tualmente,99,9.307117971010677e-05
1661,orador,99,9.307117971010677e-05
1662,elección,99,9.307117971010677e-05
1663,##damos,99,9.307117971010677e-05
1664,aquel,99,9.307117971010677e-05
1665,gota,99,9.307117971010677e-05
1666,##gantes,99,9.307117971010677e-05
1667,##cri,99,9.307117971010677e-05
1668,libertad,99,9.307117971010677e-05
1669,palabras,99,9.307117971010677e-05
1670,criticar,99,9.307117971010677e-05
1671,consciencia,99,9.307117971010677e-05
1672,eli,99,9.307117971010677e-05
1673,cerebro,99,9.307117971010677e-05
1674,flores,99,9.307117971010677e-05
1675,Pasé,99,9.307117971010677e-05
1676,##sos,99,9.307117971010677e-05
1677,sólo,99,9.307117971010677e-05
1678,comida,99,9.307117971010677e-05
1679,##ron,99,9.307117971010677e-05
1680,luces,99,9.307117971010677e-05
1681,admira,99,9.307117971010677e-05
1682,##tines,99,9.307117971010677e-05
1683,invitado,99,9.307117971010677e-05
1684,Además,98,9.213106678374206e-05
1685,tumba,98,9.213106678374206e-05
1686,##or,98,9.213106678374206e-05
1687,quedara,98,9.213106678374206e-05
1688,desesperación,98,9.213106678374206e-05
1689,ocurre,98,9.213106678374206e-05
1690,##deci,98,9.213106678374206e-05
1691,Muchas,98,9.213106678374206e-05
1692,recorrido,98,9.213106678374206e-05
1693,tiro,98,9.213106678374206e-05
1694,camisa,98,9.213106678374206e-05
1695,gravedad,98,9.213106678374206e-05
1696,nuestros,98,9.213106678374206e-05
1697,fines,98,9.213106678374206e-05
1698,masculina,98,9.213106678374206e-05
1699,per,98,9.213106678374206e-05
1700,han,98,9.213106678374206e-05
1701,supo,98,9.213106678374206e-05
1702,tus,98,9.213106678374206e-05
1703,visual,98,9.213106678374206e-05
1704,deberíamos,98,9.213106678374206e-05
1705,herramientas,98,9.213106678374206e-05
1706,blanca,98,9.213106678374206e-05
1707,visitas,98,9.213106678374206e-05
1708,tono,98,9.213106678374206e-05
1709,cortina,98,9.213106678374206e-05
1710,piernas,97,9.119095385737735e-05
1711,detu,97,9.119095385737735e-05
1712,##viera,97,9.119095385737735e-05
1713,##nes,97,9.119095385737735e-05
1714,importancia,97,9.119095385737735e-05
1715,##melo,97,9.119095385737735e-05
1716,cámara,97,9.119095385737735e-05
1717,probable,97,9.119095385737735e-05
1718,prácticamente,97,9.119095385737735e-05
1719,independencia,97,9.119095385737735e-05
1720,conversaciones,97,9.119095385737735e-05
1721,Hacía,97,9.119095385737735e-05
1722,pedazos,97,9.119095385737735e-05
1723,montaña,97,9.119095385737735e-05
1724,acercar,97,9.119095385737735e-05
1725,menores,97,9.119095385737735e-05
1726,aguantar,97,9.119095385737735e-05
1727,mató,97,9.119095385737735e-05
1728,arte,96,9.025084093101263e-05
1729,habrán,96,9.025084093101263e-05
1730,Tar,96,9.025084093101263e-05
1731,tarda,96,9.025084093101263e-05
1732,presente,96,9.025084093101263e-05
1733,funcionan,96,9.025084093101263e-05
1734,juzgar,96,9.025084093101263e-05
1735,arriba,96,9.025084093101263e-05
1736,dinero,96,9.025084093101263e-05
1737,escon,96,9.025084093101263e-05
1738,esfuerzos,96,9.025084093101263e-05
1739,escribía,96,9.025084093101263e-05
1740,trascen,96,9.025084093101263e-05
1741,espacios,96,9.025084093101263e-05
1742,dejando,96,9.025084093101263e-05
1743,pocas,96,9.025084093101263e-05
1744,propias,96,9.025084093101263e-05
1745,ángulos,96,9.025084093101263e-05
1746,pienso,96,9.025084093101263e-05
1747,colgado,95,8.931072800464792e-05
1748,Algunos,95,8.931072800464792e-05
1749,sonre,95,8.931072800464792e-05
1750,pasé,95,8.931072800464792e-05
1751,acceder,95,8.931072800464792e-05
1752,bolsas,95,8.931072800464792e-05
1753,##gaban,95,8.931072800464792e-05
1754,##I,95,8.931072800464792e-05
1755,definitiva,95,8.931072800464792e-05
1756,importante,95,8.931072800464792e-05
1757,confi,95,8.931072800464792e-05
1758,pierna,95,8.931072800464792e-05
1759,falla,94,8.837061507828321e-05
1760,tendrá,94,8.837061507828321e-05
1761,suena,94,8.837061507828321e-05
1762,desa,94,8.837061507828321e-05
1763,tu,94,8.837061507828321e-05
1764,llaves,94,8.837061507828321e-05
1765,hor,94,8.837061507828321e-05
1766,muchísimo,94,8.837061507828321e-05
1767,Estaba,94,8.837061507828321e-05
1768,char,94,8.837061507828321e-05
1769,distinto,94,8.837061507828321e-05
