rank,token,count,relative_frequency
370,circo,275,0.0003317177672861144
371,hacia,274,0.00033051152085961945
372,pensaba,273,0.0003293052744331245
373,siguió,273,0.0003293052744331245
374,pensamiento,273,0.0003293052744331245
375,llevaron,272,0.0003280990280066295
376,naturaleza,271,0.00032689278158013456
377,aire,270,0.0003256865351536396
378,salir,268,0.00032327404230064966
379,nuestro,268,0.00032327404230064966
380,tuvieron,267,0.0003220677958741547
381,ataúd,266,0.00032086154944765976
382,vivir,266,0.00032086154944765976
383,tipo,264,0.0003184490565946698
384,colores,264,0.0003184490565946698
385,minutos,264,0.0003184490565946698
386,hizo,263,0.00031724281016817487
387,explicación,262,0.0003160365637416799
388,puede,260,0.00031362407088868997
389,hablar,260,0.00031362407088868997
390,visto,260,0.00031362407088868997
391,gritó,259,0.000312417824462195
392,churchill,258,0.0003112115780357001
393,incluso,258,0.0003112115780357001
394,cuanto,258,0.0003112115780357001
395,pesar,258,0.0003112115780357001
396,nombre,258,0.0003112115780357001
397,funcionario,257,0.0003100053316092051
398,ruido,256,0.0003087990851827101
399,natural,255,0.0003075928387562152
400,te,254,0.00030638659232972023
401,pensando,252,0.0003039740994767303
402,subte,252,0.0003039740994767303
403,fondo,252,0.0003039740994767303
404,tierra,252,0.0003039740994767303
405,pudiera,251,0.00030276785305023533
406,vista,250,0.0003015616066237404
407,espacio,250,0.0003015616066237404
408,capataz,250,0.0003015616066237404
409,músicos,249,0.00030035536019724544
410,podría,248,0.00029914911377075043
411,fuerza,248,0.00029914911377075043
412,cigarrillo,248,0.00029914911377075043
413,problemas,248,0.00029914911377075043
414,encontrar,247,0.0002979428673442555
415,apoyada,247,0.0002979428673442555
416,tarea,246,0.00029673662091776054
417,bate,246,0.00029673662091776054
418,empecé,245,0.0002955303744912656
419,bolsillo,244,0.0002943241280647706
420,blanco,244,0.0002943241280647706
421,almohadón,244,0.0002943241280647706
422,despertó,243,0.00029311788163827564
423,persona,242,0.0002919116352117807
424,béisbol,242,0.0002919116352117807
425,otros,241,0.00029070538878528575
426,vieron,241,0.00029070538878528575
427,jardín,241,0.00029070538878528575
428,única,241,0.00029070538878528575
429,dentro,241,0.00029070538878528575
430,accidente,240,0.00028949914235879075
431,completamente,239,0.0002882928959322958
432,cayó,238,0.00028708664950580085
433,newton,237,0.0002858804030793059
434,haya,236,0.0002846741566528109
435,dejó,236,0.0002846741566528109
436,barrio,235,0.00028346791022631595
437,segunda,233,0.00028105541737332606
438,peste,233,0.00028105541737332606
439,brazo,232,0.00027984917094683106
440,paso,232,0.00027984917094683106
