cuento,archivo,n_original,n_conservados,n_eliminados,porcentaje_eliminado,min_words_original,max_words_original,mean_words_original,min_words_filtrado,max_words_filtrado,mean_words_filtrado
Rubí y el lago danzante,sub-107.json,61,44,17,27.8689,1,49,12.082,4,49,16.0682
Rubí y el lago danzante,sub-109.json,55,45,10,18.1818,1,50,13.6182,4,50,16.3111
Rubí y el lago danzante,sub-111.json,69,52,17,24.6377,1,50,11.8406,4,50,15.2308
Rubí y el lago danzante,sub-112.json,49,42,7,14.2857,1,50,14.6939,4,50,16.8095
Una rosa para Emilia,sub-001.json,60,43,17,28.3333,1,60,13.75,5,60,18.4419
Una rosa para Emilia,sub-002.json,87,57,30,34.4828,1,54,11.1034,4,54,16.0877
Una rosa para Emilia,sub-003.json,47,39,8,17.0213,1,60,15.8723,4,60,18.7949
Una rosa para Emilia,sub-005.json,91,47,44,48.3516,1,59,8.5824,4,59,15.3404
Una rosa para Emilia,sub-006.json,48,39,9,18.75,1,60,15.0833,4,60,18.1538
Una rosa para Emilia,sub-009.json,57,47,10,17.5439,1,61,14.4561,4,61,17.2553
Una rosa para Emilia,sub-010.json,41,36,5,12.1951,1,60,17.122,5,60,19.1944
Una rosa para Emilia,sub-013.json,83,53,30,36.1446,1,54,10.6867,4,54,15.9245
Una rosa para Emilia,sub-016.json,74,47,27,36.4865,1,61,12.027,4,61,18.2766
Una rosa para Emilia,sub-018.json,79,58,21,26.5823,1,59,12.4051,4,59,16.3103
Una rosa para Emilia,sub-021.json,48,40,8,16.6667,1,60,15.75,4,60,18.575
Una rosa para Emilia,sub-024.json,59,45,14,23.7288,1,59,13.5424,4,59,17.1778
Una rosa para Emilia,sub-027.json,71,54,17,23.9437,1,59,14.1268,4,59,18.1296
Una rosa para Emilia,sub-028.json,89,49,40,44.9438,1,60,9.2809,4,60,15.6939
Una rosa para Emilia,sub-034.json,63,51,12,19.0476,1,61,13.6032,4,61,16.451
Una rosa para Emilia,sub-036.json,93,48,45,48.3871,1,61,8.4194,4,61,14.9375
Una rosa para Emilia,sub-039.json,59,40,19,32.2034,1,54,12.8305,4,54,18.225
Una rosa para Emilia,sub-041.json,47,41,6,12.766,1,60,15.766,4,60,17.8293
Una rosa para Emilia,sub-042.json,47,39,8,17.0213,1,61,16,5,61,18.9231
Una rosa para Emilia,sub-044.json,49,38,11,22.449,1,61,14.898,4,61,18.7895
