rank,token,count,relative_frequency
344,número,341,0.0004533115672881865
345,corriendo,340,0.0004519822078533238
346,accidente,338,0.00044932348898359836
347,justo,336,0.00044666477011387295
348,pie,336,0.00044666477011387295
349,aparecen,335,0.0004453354106790102
350,miedo,335,0.0004453354106790102
351,cerca,335,0.0004453354106790102
352,tuvieron,335,0.0004453354106790102
353,caliente,332,0.00044134733237442207
354,cartas,332,0.00044134733237442207
355,músicos,331,0.00044001797293955933
356,luna,330,0.0004386886135046966
357,tratando,329,0.0004373592540698339
358,pasaban,329,0.0004373592540698339
359,adolescente,328,0.0004360298946349712
360,amigo,328,0.0004360298946349712
361,punto,327,0.00043470053520010846
362,trabajo,326,0.0004333711757652458
363,hecho,326,0.0004333711757652458
364,despertó,325,0.00043204181633038304
365,bosque,324,0.0004307124568955203
366,diferentes,324,0.0004307124568955203
367,vereda,324,0.0004307124568955203
368,final,323,0.00042938309746065763
369,tierra,323,0.00042938309746065763
370,cierto,322,0.0004280537380257949
371,primer,322,0.0004280537380257949
372,lugar,317,0.0004214069408514813
373,compró,316,0.0004200775814166186
374,cigarrillo,316,0.0004200775814166186
375,circo,315,0.0004187482219817559
376,nieve,314,0.00041741886254689314
377,príncipe,313,0.0004160895031120304
378,haber,311,0.000413430784242305
379,rubí,311,0.000413430784242305
380,directamente,310,0.00041210142480744226
381,podría,309,0.0004107720653725796
382,primeros,307,0.0004081133465028541
383,hablar,307,0.0004081133465028541
384,pianista,306,0.00040678398706799144
385,amor,306,0.00040678398706799144
386,problemas,306,0.00040678398706799144
387,túnica,304,0.000404125268198266
388,ciencia,303,0.00040279590876340324
389,puede,302,0.00040146654932854056
390,arcoíris,301,0.00040013718989367783
391,parte,300,0.0003988078304588151
392,pasando,300,0.0003988078304588151
393,color,299,0.0003974784710239524
394,tres,297,0.00039481975215422695
395,pudiera,297,0.00039481975215422695
396,minutos,297,0.00039481975215422695
397,apoyada,297,0.00039481975215422695
398,dentro,297,0.00039481975215422695
399,conocía,296,0.0003934903927193643
400,sí,295,0.00039216103328450154
401,decirle,295,0.00039216103328450154
402,vieron,294,0.0003908316738496388
403,verdad,293,0.0003895023144147761
404,brasil,293,0.0003895023144147761
405,estuviera,293,0.0003895023144147761
406,corazón,293,0.0003895023144147761
407,ventana,289,0.00038418487667532525
408,almohadón,288,0.0003828555172404625
409,colores,287,0.0003815261578055998
410,animales,287,0.0003815261578055998
411,ataúd,286,0.00038019679837073705
412,persona,286,0.00038019679837073705
413,fin,286,0.00038019679837073705
414,relleno,285,0.00037886743893587437
415,ruido,284,0.00037753807950101164
416,habrá,284,0.00037753807950101164
417,cuestión,284,0.00037753807950101164
418,cuchillo,284,0.00037753807950101164
419,pesar,284,0.00037753807950101164
420,natural,282,0.0003748793606312862
421,afuera,282,0.0003748793606312862
422,espacio,282,0.0003748793606312862
423,preparado,281,0.0003735500011964235
424,newton,280,0.00037222064176156076
425,carteras,279,0.0003708912823266981
426,miró,278,0.00036956192289183535
427,otros,278,0.00036956192289183535
428,educación,277,0.0003682325634569726
429,respondió,276,0.0003669032040221099
430,camino,276,0.0003669032040221099
431,representan,276,0.0003669032040221099
432,empecé,275,0.0003655738445872472
433,unos,275,0.0003655738445872472
434,pareció,274,0.00036424448515238447
435,blanco,274,0.00036424448515238447
436,tarea,274,0.00036424448515238447
437,escuela,274,0.00036424448515238447
438,caballo,274,0.00036424448515238447
439,primero,274,0.00036424448515238447
440,recordar,273,0.00036291512571752174
441,salir,272,0.00036158576628265906
442,escuchaba,271,0.0003602564068477963
443,espectáculo,271,0.0003602564068477963
444,sea,270,0.0003589270474129336
445,tomó,270,0.0003589270474129336
446,pueblo,270,0.0003589270474129336
447,hotel,269,0.0003575976879780709
448,iban,268,0.0003562683285432082
449,recuerdo,267,0.00035493896910834545
450,larga,266,0.0003536096096734827
451,dejaron,265,0.00035228025023862004
452,médicos,265,0.00035228025023862004
453,sol,265,0.00035228025023862004
454,abanicaba,265,0.00035228025023862004
455,subte,264,0.0003509508908037573
456,única,264,0.0003509508908037573
457,vivir,263,0.00034962153136889457
458,hacia,263,0.00034962153136889457
459,visto,262,0.0003482921719340319
460,seguro,262,0.0003482921719340319
461,paisaje,261,0.00034696281249916916
462,fueran,261,0.00034696281249916916
463,gritó,260,0.0003456334530643064
464,punta,260,0.0003456334530643064
465,vista,260,0.0003456334530643064
466,imposible,259,0.0003443040936294437
467,escrutinio,259,0.0003443040936294437
468,último,259,0.0003443040936294437
469,tranquilidad,259,0.0003443040936294437
470,señorita,259,0.0003443040936294437
471,cuerpos,258,0.000342974734194581
472,cara,257,0.0003416453747597183
473,posibilidad,257,0.0003416453747597183
474,animal,257,0.0003416453747597183
475,masa,257,0.0003416453747597183
476,peste,257,0.0003416453747597183
477,esperando,256,0.00034031601532485555
478,fondo,256,0.00034031601532485555
479,conocimiento,256,0.00034031601532485555
480,delicadamente,256,0.00034031601532485555
481,hoy,255,0.00033898665588999287
482,segunda,255,0.00033898665588999287
483,cualquiera,255,0.00033898665588999287
484,brazo,254,0.00033765729645513013
485,sonrisa,253,0.0003363279370202674
486,suerte,253,0.0003363279370202674
487,misterio,253,0.0003363279370202674
488,llegara,253,0.0003363279370202674
489,entero,252,0.0003349985775854047
490,darse,252,0.0003349985775854047
491,fácil,252,0.0003349985775854047
492,estado,252,0.0003349985775854047
493,ir,251,0.000333669218150542
494,aire,251,0.000333669218150542
495,ferracioli,251,0.000333669218150542
496,tal,250,0.00033233985871567926
